variety,colour
vital,white
espadeiro,red
apple,white
pinot grigio-sauvignon blanc,red
blatina,red
karalahna,red
feteasca,red
sercial,white
valvin muscat,white
malvasia fina,white
roditis-moschofilero,white
st. vincent,red
chancellor,red
premsal,white
jampal,white
tokay pinot gris,white
colorino,red
picapoll,white
blauburger,red
tinta madeira,red
centesimino,red
grenache gris,white
trajadura,white
merlot-petite verdot,red
ramisco,red
catalanesca,red
garnacha-cabernet,red
garnacha-cariñena,red
gamza,red
cabernet franc-lemberger,red
chardonnay-albariño,white
shiraz-mourvèdre,red
mavrokalavryta,red
favorita,white
babosa negro,red
tintilia,red
dafni,white
petit courbu,white
kotsifali,red
parraleta,red
moscato di noto,white
roscetto,white
torontel,white
otskhanuri sapere,red
viognier-valdiguié,white
trollinger,red
tsapournakos,red
francisa,red
kuntra,red
pignolo,red
caprettone,white
ondenc,white
athiri,white
bobal-cabernet sauvignon,red
